"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182"
"1","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0","alpha=8","alpha=8","alpha=-8","alpha=-8","alpha=1","alpha=1","alpha=-1","alpha=-1","alpha=36.5629892630851","alpha=36.5629892630851","alpha=-36.5629892630851","alpha=-36.5629892630851","alpha=0","alpha=0"
"2","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10"
"3","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","20","20","20","20","20","20","20","20","20","20","20","20","20","30","30","30","30","30","30","30","30","30","30","30","30","30","30","40","40","40","40","40","40","40","40","40","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","50","50","60","60","60","60","60","60","60","60","60","60","60","60","60","60","70","70","70","70","70","70","70","70","70","70","70","70","70","70","80","80","80","80","80","80","80","80","80","80","80","80","80","80","90","90","90","90","90","90","90","90","90","90","90","90","90","90","100","100","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","110","110","110","110","120","120","120","120","120","120","120","120","120","120","120","120","120","120","121","121","121","121","121","121","121","121","121","121","121","121","121","121"
"4","1","1","0","0","0.535440917107584","0.776049382716049","0.101111111111111","0.154708994708995","0.866666666666667","0.866666666666667","0","0","0.265079365079365","0.423068783068783","0.926666666666667","1","0.0111111111111111","0.0444444444444444","0.431682558449844","0.697101632075832","0.239166793627578","0.33491630555356","0.99","1","0","0","0.334303969451028","0.618630126514543","0.830074398426889","0.988148148148148","0.0817652717652718","0.0653711720378387","0.344767005047198","0.664134531567482","0.259927032223214","0.380794596171408","0.895265462506842","0.962962962962963","0","0","0.308700270554491","0.544623817042774","0.679111479900954","0.936931324036587","0.0880428303493319","0.100911445127131","0.336636918898789","0.614377600873989","0.286042716863024","0.431886101155265","0.82599759678707","0.970355375618533","0","0","0.282094696332585","0.517882972081888","0.573793754360469","0.902102040816327","0.124095534241075","0.192211935970015","0.325213162716246","0.573834445933884","0.258991424008568","0.440572545217036","0.82770166932021","0.919520030234316","0.0148148148148148","0","0.285797034822411","0.507776218096096","0.548977726359986","0.855182268613934","0.136279374300952","0.200341018682664","0.347901544311585","0.594469590795505","0.266617552841969","0.460639812010751","0.77681821984369","0.888630161187761","0.00740740740740741","0.0111111111111111","0.301980024178315","0.528540552968825","0.525775135512345","0.822330841630761","0.187067743468939","0.27407543352448","0.3518936967578","0.549170401233477","0.271540183957872","0.504132802624324","0.760133078786487","0.849430867018377","0.0266931216931217","0.0111111111111111","0.324102919694724","0.519409728172951","0.500732466692509","0.771267654607095","0.195375105766283","0.293502970767249","0.325268155716701","0.53642792453798","0.280643909039054","0.505679910903609","0.764259166229186","0.879347664759057","0.0175889850889851","0.0338816738816739","0.303651618061699","0.522963276996256","0.457349331572043","0.748245001320153","0.204876070759645","0.294145407630358","0.321370136808576","0.557846877611629","0.313771133303317","0.466909079437875","0.690650561279392","0.833502935726842","0.0226540697386931","0.0258379891713225","0.312047186043035","0.512143513204576","0.452766540514983","0.745863676351121","0.188799057389873","0.302218275549102","0.324618267784408","0.572361815453799","0.300302715565741","0.492721050297902","0.623037137911954","0.723185183944323","0.0434074848058336","0.0384283273008763","0.313781256612244","0.512772739743988","0.423546281456442","0.696156702681354","0.184501818903597","0.279530104089673","0.33697818480785","0.541331437993069","0.2879656239695","0.486292462367647","0.639224644603598","0.763142390778076","0.0434876071043119","0.0472772924824569","0.315710169736648","0.516617557571575","0.44226943309345","0.70714049039223","0.195887854337318","0.328846999987303","0.299026950385975","0.557939362374105","0.285145267863747","0.494661910630186","0.588535252327224","0.731497106861187","0.065245834099044","0.045259343602421","0.316951689110246","0.527361259218596","0.411369746392395","0.685880176430221","0.215738042892119","0.362508240503191","0.325501246525313","0.540250353900045","0.29519369613024","0.489139593009242","0.648001921042747","0.74818089011215","0.0607090825030693","0.0565908009971889","0.305378212943482","0.511207076724134"
"5","1","1","0","0","0.425776014109347","0.869876543209877","0.190670194003527","0.297292768959436","1","1","0","0","0.319761904761905","0.472063492063492","0.962163742690058","1","0.0333333333333333","0.0422222222222222","0.348574002250473","0.660084374880556","0.215727814306246","0.433663438384801","0.978947368421053","0.984615384615385","0","0","0.290873144647654","0.519162374051435","0.808901457560461","0.98","0.0533958633958634","0.0554232804232804","0.361784527702148","0.630823116999362","0.2386865212066","0.450583453404709","0.91765006385696","0.979310344827586","0","0","0.300035249395863","0.561987334929864","0.703734680313628","0.952165242165242","0.0848967082300416","0.136606586854265","0.333164214955396","0.573625799794114","0.257026468604647","0.450784927433409","0.890251911830859","0.971834992887624","0","0","0.325975123641591","0.559445777867663","0.591707732121598","0.925168556311413","0.15970792755114","0.158019720800103","0.336032757547276","0.622990685348419","0.267946572007379","0.471761584132026","0.816111842146664","0.90584126984127","0.0111111111111111","0","0.311212563605075","0.519278365964491","0.560155005877596","0.84615355519782","0.168651875608111","0.206668557458097","0.322302061426209","0.556807686678342","0.255183251966296","0.483081108267915","0.725461943725638","0.858240168249704","0.0119047619047619","0","0.337850082031349","0.540720469651621","0.517400988947795","0.842242215956382","0.175170734202561","0.22183339841038","0.315174291461983","0.558269572849885","0.292900745367864","0.478675060946197","0.708921307478378","0.870130448314592","0.01","0.0185185185185185","0.331215184817519","0.571313349255304","0.448690247664465","0.766095003930114","0.177980686387281","0.271644943267892","0.313423172526555","0.547626132024391","0.283474859854093","0.482657281418049","0.743006122101059","0.89543560986599","0.0378515311848645","0.0267460317460317","0.281672938776332","0.521399324869904","0.443680449855899","0.783272883926314","0.174974511129314","0.297515677694462","0.35354096816348","0.614839458099025","0.322327273290193","0.508494269666043","0.706912632383881","0.846805941224919","0.0387120377806652","0.0167206250539584","0.32731086756545","0.522161944244849","0.446239881833079","0.716703262451876","0.201256104505349","0.303564361329055","0.313304976038506","0.562195444919985","0.29340507132123","0.494438446195843","0.661888821720257","0.804748067220808","0.0541153426705542","0.039791183761772","0.318425164945442","0.512236016874475","0.42458549170136","0.722001944710683","0.189917087894397","0.312917443360165","0.307250042929143","0.544517347368034","0.330002532325823","0.506067065405877","0.647587578597309","0.796619704772754","0.0633692066414281","0.0490527970481531","0.329385236615574","0.515704539314833","0.411989140429926","0.719806868152282","0.207278443695607","0.326551481869218","0.343000541313708","0.533455333610326","0.313601328586301","0.458891626838033","0.660773284903135","0.786619654553524","0.0512488163361883","0.0663444508064511","0.295059979480526","0.505387115708882","0.398980613238155","0.655737798615025","0.219450700556505","0.372364638374327","0.322649199752118","0.521543222903645","0.257799376873755","0.479227586563959","0.669627198588558","0.830593891639537","0.0605641322542843","0.0527392302108321","0.295309195420433","0.503054221849843"
"6","1","1","0","0","0.566931216931217","0.92","0.215176366843034","0.231402116402116","1","1","0","0","0.350802469135802","0.69641975308642","0.97","1","0.012962962962963","0","0.502638199529324","0.728422963727401","0.208715852049185","0.311526718036006","0.949707602339181","0.984615384615385","0","0","0.274589776599581","0.454739026214774","0.774675545824971","0.961455938697318","0.112018845352179","0.0688447971781305","0.348875662434015","0.603989240219125","0.266792593831406","0.42978337926164","0.888217478562306","0.95362962962963","0","0","0.381179933265095","0.511008819895377","0.682537340212779","0.929373219373219","0.1188863387883","0.101877337393333","0.344718606702169","0.612158762772798","0.337759379213527","0.423241189956463","0.844865047233468","0.950967161493477","0.0222222222222222","0","0.33433503787026","0.528614418724567","0.599576450801638","0.90552380952381","0.136644801938591","0.134617892643034","0.331270356198117","0.55783706336543","0.254937809162647","0.450340854176839","0.830854328492626","0.919094458114215","0.00740740740740741","0","0.293985622732414","0.481284408475894","0.533725922350928","0.847384090299129","0.166520933532992","0.219072944971111","0.379656972404804","0.591102040075699","0.2852208341961","0.490139537629161","0.791855293308276","0.887447544440685","0.0178042328042328","0.0185185185185185","0.329712898477957","0.50339264771772","0.537590896316968","0.776932231851116","0.17678014821936","0.197045600887203","0.340660060570652","0.575370147178445","0.269675319333809","0.430450112317598","0.81572601612568","0.904255808603635","0.0106172839506173","0.0192592592592593","0.289584750615037","0.520023747376273","0.463637641879255","0.766379601004518","0.189799837439138","0.258778584985588","0.363075922342788","0.566750657392468","0.325626310663991","0.515876293523713","0.782490761351854","0.887765203619634","0.0326038250057858","0.00185185185185185","0.330508400444924","0.497790571275986","0.455001617331599","0.751510499076143","0.18537963514894","0.296357716658973","0.325711135563107","0.545236607342741","0.297345038459787","0.473743174014955","0.755035713442262","0.849550026888073","0.0304916266319775","0.0468184284850952","0.335112769948424","0.525673605545966","0.439991572947967","0.748331969862504","0.230524141919778","0.316288752961984","0.316624243204084","0.557976374481105","0.301435929098728","0.49108738349621","0.715213818794162","0.802509833342275","0.0371230357762865","0.0467154940194156","0.292993362168724","0.50706046283607","0.40749042196498","0.700103035584976","0.220107901713091","0.340271024946186","0.342495091325439","0.551077089403333","0.310818736607229","0.47876255508753","0.659554836491574","0.758206454140406","0.0548004301062137","0.0462427775946868","0.305556281046775","0.515319476323136","0.397054107415955","0.685398494993285","0.239098298964334","0.349830072222125","0.314563124576409","0.518644939934562","0.292791353041167","0.480097608450433","0.658023736622819","0.763555481749265","0.0557988036339101","0.0529604652263601","0.290026128608016","0.495717184961689","0.418702864669925","0.664216887105555","0.22873280618494","0.354567998317952","0.311963685836053","0.556797926915874","0.309952072191696","0.527796098711875","0.637447216542447","0.766272945365218","0.0621079086788076","0.0699251708002964","0.281924702957083","0.484728492499795"
"7","1","1","0","0","0.458668430335097","0.753271604938272","0.154814814814815","0.358756613756614","1","1","0","0","0.216904761904762","0.475978835978836","0.952163742690058","1","0.207407407407407","0","0.389089651509672","0.587024806023774","0.330349053633367","0.444765844559446","0.968421052631579","1","0","0","0.314595872537049","0.483757126182307","0.839710717833323","0.98","0.0925052108385442","0.0608393458393458","0.37616520777664","0.621891678634974","0.247062465456484","0.400238376045139","0.871924223073648","0.94174358974359","0","0","0.349826874628269","0.548967346404128","0.679221583256671","0.968276353276353","0.121104377123469","0.118897992969873","0.358967702729478","0.623901240601447","0.235273186869652","0.464969498110093","0.839592021170969","0.938621955288622","0.0111111111111111","0.0222222222222222","0.247197398961262","0.430219070921695","0.60214842406122","0.87307808655377","0.110677060733596","0.14755018140968","0.326743353638787","0.593914873471599","0.25561222698968","0.518043779900691","0.823861678004535","0.913894718643959","0.0111111111111111","0.0222222222222222","0.28396409498309","0.555945982664696","0.519500242514595","0.847335723554617","0.195593610971444","0.234088109825722","0.320506265526163","0.539616637207537","0.277199391444228","0.47401437286193","0.734296544071119","0.862693889734402","0","0","0.316021485777251","0.542327973481812","0.501524845600206","0.828336163941386","0.156659119533287","0.24616521844844","0.35714712407303","0.547648704045727","0.283474092552834","0.442851543910388","0.750576364057273","0.898466285064751","0.0211640211640212","0.00444444444444444","0.302324539006965","0.552646909318896","0.490190235688255","0.790492310684183","0.202360289411185","0.279509976752092","0.369689771737119","0.561274476262379","0.273476040679616","0.468918261809314","0.744804528595002","0.860847525657652","0.0424076540743207","0.0244444444444444","0.29973755192515","0.477032069347827","0.449767381793381","0.774915112168894","0.177345100285896","0.256660444000328","0.374694182263677","0.588150628595019","0.253944702804809","0.44178370822069","0.682746531345991","0.79168927860913","0.0543270504674013","0.0193121693121693","0.297037501107618","0.508540275475866","0.440355192195929","0.735982766065563","0.195525788820525","0.302301247341688","0.336912918431016","0.55856505314197","0.282304953623423","0.476031336051465","0.687262446791623","0.79661802174754","0.0456741169905421","0.0368618178060903","0.322285640072677","0.547128359573179","0.407506092203984","0.712491460612333","0.241564443436799","0.352237573824744","0.331103527971889","0.532085261789288","0.317310724253533","0.480205342123903","0.676428220039901","0.814553173469439","0.0752693278961956","0.0247987778379935","0.310402557823613","0.528929709792709","0.428775587092208","0.675595105762705","0.200388003035474","0.312040819726174","0.326544963665738","0.522042248316309","0.294583362207189","0.479039074075688","0.645476409984775","0.795071695885814","0.0555969869326066","0.0574380229643865","0.317907488043007","0.507292474403025","0.392027673458383","0.673878820902237","0.204535283195744","0.346904969526641","0.283795202693333","0.549086599301647","0.304953832229061","0.474660929672223","0.641399648645165","0.785959801892189","0.0705337151888679","0.0758131260857931","0.302470080177337","0.548598476022755"
"8","1","1","0","0","0.516675485008818","0.75679012345679","0.146666666666667","0.231728395061728","1","1","0","0","0.404541446208113","0.49547619047619","0.982222222222222","1","0.108888888888889","0.0533333333333333","0.408647734656507","0.651157932958759","0.291039886039886","0.417658715457993","0.940450254175744","0.984615384615385","0","0","0.304946710878083","0.495267266750755","0.82598572847615","0.986666666666667","0.0676110309443643","0.0818606701940035","0.438492098883403","0.719931009532542","0.24741319281567","0.419761744964644","0.916224735956537","0.967342739564962","0","0","0.320270624880278","0.452462951711327","0.674434108293757","0.965512820512821","0.123478153444614","0.111657658742282","0.319564331165431","0.525358532215743","0.2997219312138","0.45161731312298","0.870683760683761","0.972589593642225","0","0","0.332827416594812","0.538133908453826","0.59772134119549","0.910773998488284","0.110958952067311","0.13567363277488","0.310395238278567","0.531764709645895","0.287712815261278","0.423454844036239","0.776665550943028","0.881397130956401","0","0.0222222222222222","0.345131249286036","0.552734318639591","0.526958774085024","0.808476775092482","0.132520430869665","0.218711605066347","0.347790370150213","0.588550708234995","0.291179351701147","0.448259843050846","0.763833696195811","0.889273739579809","0.0162962962962963","0.0222222222222222","0.261573198416609","0.513528495908709","0.51959482942592","0.840798391027043","0.171430120756424","0.24304302864541","0.288555264613626","0.494511870356279","0.317946415414947","0.481485826935976","0.755672880657421","0.88094737411873","0.0135802469135802","0.012962962962963","0.275684595859105","0.517012476948478","0.471503360369976","0.764374310418281","0.183954940348345","0.26906930940457","0.307495698620673","0.542051339458401","0.327799901972754","0.542207308099263","0.704413053493372","0.832223730078494","0.0337590187590188","0.0180246913580247","0.334361413922569","0.544024551315202","0.458189476991751","0.780657029450381","0.191698171133644","0.30702461297259","0.308103233567867","0.520980084194798","0.302104534752851","0.500031217613661","0.678836781975578","0.795692579139861","0.0359049374735649","0.00962962962962963","0.308594607524317","0.52500830622987","0.455138998180515","0.730074486964381","0.224722156953173","0.29918892820267","0.310505366266918","0.532673616598688","0.318501095428805","0.535718107870194","0.718783504535445","0.827513645407484","0.0410012667220905","0.0295636552989494","0.289419494444507","0.512803801136362","0.415829459966169","0.722763668581769","0.196204504815371","0.319669399999533","0.319399319398001","0.541070260782242","0.281780067570042","0.505481829440133","0.692294726742514","0.807080298840656","0.0639339611158745","0.0659854793382186","0.285994742916551","0.500217945032816","0.397803752912809","0.677746517654921","0.211023222396061","0.34012205926988","0.336021985470239","0.547748255604176","0.318149649669349","0.515510228298254","0.654672383334383","0.792481207070657","0.0624798282406208","0.0468666145813532","0.31093849760537","0.512326009321098","0.396205878782433","0.679205485940661","0.217263161618814","0.333001629120339","0.313849519686658","0.529345758415104","0.312735607858833","0.497713525111996","0.631579061356436","0.808403381136436","0.055576134741998","0.0616346891800833","0.327806537087205","0.518082482350523"
"9","1","1","0.0222222222222222","0","0.465440917107584","0.797037037037037","0.191428571428571","0.277857142857143","1","1","0","0","0.388148148148148","0.532486772486772","0.945321637426901","1","0.0485185185185185","0.0111111111111111","0.370910823018666","0.735572755417957","0.198843594676928","0.293451735265461","0.92076978939724","0.973333333333333","0","0","0.288632016132016","0.539019034514391","0.778820369356768","0.944367816091954","0.0963227513227513","0.059042809042809","0.408239126826973","0.70429208438787","0.282323538120146","0.450405625318923","0.913716475095785","0.993103448275862","0","0","0.274851260894672","0.494157908305501","0.637572660379678","0.961096866096866","0.0712548594050142","0.111619105295576","0.381581527787843","0.604618777552214","0.249492754385203","0.42981526725975","0.848576945945367","0.978947368421053","0.0111111111111111","0","0.30828867055652","0.518336555765273","0.575161971614725","0.876765684051398","0.0944074980555889","0.186183727470277","0.309269973273662","0.558904091136959","0.248699686853445","0.459925855415857","0.791710197718722","0.894367652498352","0","0","0.289655520454221","0.49718994248809","0.56881818989513","0.901689534570891","0.118453385416614","0.169350888232734","0.362494046242272","0.548763934107315","0.298586368966367","0.506505995809763","0.782252242398971","0.919597535953007","0.0248148148148148","0.0296296296296296","0.26997570127142","0.505524557389104","0.509827968647918","0.786909276207287","0.16220582282243","0.207707778838796","0.376920149344264","0.595337384906664","0.302051750611199","0.503598784147751","0.701267231041132","0.836467819228059","0.0239249639249639","0.0459259259259259","0.326502864286395","0.533793112226952","0.437978967566091","0.785334614062129","0.180559562974988","0.260586779368794","0.325818907218412","0.5556920634287","0.311550492831254","0.514282987710125","0.72875859095345","0.87251640764299","0.0310327943661277","0.0433597883597884","0.327550946140384","0.494595683630515","0.440716355124428","0.745872242924885","0.192972212288807","0.301435119542403","0.331263495902495","0.559610087661721","0.28194054902189","0.480932685273503","0.705799462732861","0.836947972122969","0.051041311119047","0.0191942625275959","0.303437001521613","0.508490086646813","0.408410043781108","0.719648932029709","0.207018307117066","0.279969805324011","0.324713973488242","0.546066203761469","0.311965641638512","0.493663785069145","0.690172473634623","0.828851615838116","0.0498463491368548","0.0367658575991909","0.30567476074407","0.495040330652407","0.439036614481938","0.703525079879639","0.205641409423285","0.325194434336298","0.314481889676793","0.538574251860231","0.280265400979212","0.467921073046866","0.647191716863129","0.817592380018747","0.0689747895270803","0.0457523730330748","0.303598295966501","0.532705548299917","0.418653461001999","0.69803264690257","0.210609352699293","0.342663118603038","0.331994033773772","0.551725058178886","0.298532516528872","0.46265700559834","0.643319832424565","0.792433021958679","0.0613994508133277","0.0602445773236788","0.309219903250109","0.526101571079588","0.390440903482408","0.702569003291423","0.219476556409171","0.361354971453757","0.320364998190993","0.566590247263273","0.296850168093832","0.497672348778855","0.649317194482649","0.803433074246339","0.0657434197248607","0.0587595747899696","0.300456302333157","0.499997811217293"
"10","1","1","0.0666666666666667","0","0.558192239858907","0.904444444444444","0.164074074074074","0.208968253968254","1","1","0","0","0.363456790123457","0.476957671957672","0.91625730994152","1","0.0544444444444444","0.0444444444444444","0.486712655822563","0.71005389290219","0.201718744218744","0.429558304803403","0.968421052631579","0.966666666666667","0","0","0.293125991655403","0.516548369835264","0.827235905856596","0.98","0.0739955106621773","0.0705643738977072","0.383333035188108","0.631633883912744","0.245462005611285","0.411481757462434","0.868978288633461","0.901754623976846","0","0","0.330861381861584","0.611860033963482","0.677500977371978","0.933190883190883","0.0971338192442424","0.109459008674695","0.361929576243799","0.594147084270923","0.294543691310495","0.466009566946365","0.819852889326574","0.94381385434017","0.0111111111111111","0","0.332808443192638","0.522662894261899","0.583687692018073","0.886372637944067","0.100681862952245","0.158839257161437","0.364661230724498","0.562759844850902","0.25883702132253","0.46225516510133","0.811077891121502","0.933614512471655","0.00555555555555556","0","0.333189820204749","0.556445085024706","0.527178629262928","0.875482823559971","0.143392287510186","0.204316762274853","0.356355641181683","0.576841057182473","0.27562391161498","0.408429750520655","0.745479853460378","0.881732580037665","0.02","0.0111111111111111","0.2773728022002","0.513458912136509","0.533968017516602","0.820324586549727","0.161735812559911","0.23554614696928","0.307614270886351","0.512087653352394","0.327364729576914","0.522749998824289","0.734127232408715","0.882275354442015","0.015026455026455","0.0396825396825397","0.315722896213867","0.515364322377442","0.478396072356167","0.818591340605997","0.178828942119125","0.233685050459114","0.350985457111439","0.607191430954951","0.293553048004738","0.498797790053824","0.712192910102701","0.848349713676163","0.0348412698412698","0.015026455026455","0.267585337198995","0.513726849911901","0.470727463516269","0.765253186543812","0.206655607868464","0.289557290189318","0.343219268048851","0.573187011940131","0.276012595858852","0.46795319744717","0.694955536406082","0.854607374272233","0.0471072163321905","0.0279637646304313","0.299734354732694","0.506630521653178","0.474443669170107","0.743338570510406","0.170119004278839","0.307539170164578","0.317002049210204","0.547063295634163","0.298663310224162","0.483287799679854","0.681134644311396","0.840151727993265","0.0373179629639674","0.0240067430753705","0.33387976750879","0.527418066266146","0.426838375455927","0.711609897872339","0.205496208273824","0.328630934776439","0.320722166549633","0.534372105370424","0.320924168185223","0.482355121831415","0.656516948889754","0.812849735520286","0.0571792737623042","0.0614011652079808","0.295041226484687","0.523418732755016","0.433252713828369","0.720304130343457","0.215773267854849","0.338916318164938","0.311242582336459","0.517376250942662","0.303073007286402","0.497686139881446","0.674636391111577","0.821326560505249","0.0632925997323824","0.0537315977142857","0.298510873271816","0.503476778211306","0.402954973451015","0.688930302334747","0.227634430930574","0.352000033081116","0.300351950082741","0.516512406021959","0.309045395222819","0.495210364718559","0.655730401812581","0.770941119299803","0.0624971133706148","0.0593843200992959","0.310709493863921","0.529017607764567"
